0;6469;7629;20036;4690;6194;11688;2243;8857;7248;3559;9221;10099;22866;3388;9986;46618;11639;1380;5261;5985;6731;2704;12250;16132
6469;0;12999;13692;3322;5576;3878;3202;6699;4198;2454;7975;1186;7443;1162;5105;24817;6532;806;8184;3896;7333;3719;2015;565
7629;12999;0;35135;5956;14121;5951;5768;16578;4242;3365;22254;1841;23665;6517;3541;205088;37669;2885;13200;7116;17165;4284;8085;51895
20036;13692;35135;0;19094;35119;21423;27342;51341;15826;28537;65387;12980;44097;51525;14354;172895;37305;15418;26221;42303;35303;13618;17580;40708
4690;3322;5956;19094;0;7284;3102;1562;7180;1917;2253;5951;1890;7097;2009;1340;25303;6031;1041;4128;5452;3344;1067;4608;7050
6194;5576;14121;35119;7284;0;5023;3512;10419;3543;2752;14412;2043;15642;5014;2016;62034;15385;2957;5035;7482;6758;2191;6599;14181
11688;3878;5951;21423;3102;5023;0;11557;6479;34261;10134;27350;6929;7961;4678;13511;29801;7549;5550;3089;9958;14110;4911;2722;10802
2243;3202;5768;27342;1562;3512;11557;0;5615;7095;10753;30362;1783;3437;8897;2509;23273;5160;8750;2583;7288;17481;7930;1278;8447
8857;6699;16578;51341;7180;10419;6479;5615;0;4448;5076;22463;4783;24609;9969;4224;79945;20001;4291;10604;11925;13091;4172;12891;19500
7248;4198;4242;15826;1917;3543;34261;7095;4448;0;4370;17267;3929;8602;2753;20013;28080;5971;2131;3579;6809;8455;2868;2336;5616
3559;2454;3365;28537;2253;2752;10134;10753;5076;4370;0;15287;3083;4092;7701;2809;17291;4462;3239;2309;16003;8381;3033;1755;7266
9221;7975;22254;65387;5951;14412;27350;30362;22463;17267;15287;0;5454;15011;17714;10037;105507;20040;31780;10822;16450;92083;32908;3865;24583
10099;1186;1841;12980;1890;2043;6929;1783;4783;3929;3083;5454;0;3251;1126;5926;10653;3062;759;1255;6173;2974;1056;1504;4588
22866;7443;23665;44097;7097;15642;7961;3437;24609;8602;4092;15011;3251;0;5550;9473;169397;25073;1170;14272;8543;8064;1840;20618;20937
3388;1162;6517;51525;2009;5014;4678;8897;9969;2753;7701;17714;1126;5550;0;2152;26816;6931;4947;2676;8033;12692;6157;3065;12044
9986;5105;3541;14354;1340;2016;13511;2509;4224;20013;2809;10037;5926;9473;2152;0;21806;4519;886;1742;4782;6453;2022;3546;5065
46618;24817;205088;172895;25303;62034;29801;23273;79945;28080;17291;105507;10653;169397;26816;21806;0;9040;11139;63153;34092;70935;14957;28398;166694
11639;6532;37669;37305;6031;15385;7549;5160;20001;5971;4462;20040;3062;25073;6931;4519;9040;0;2802;30224;7982;14964;4589;6227;12359
1380;806;2885;15418;1041;2957;5550;8750;4291;2131;3239;31780;759;1170;4947;886;11139;2802;0;1869;3716;11510;3519;569;3520
5261;8184;13200;26221;4128;5035;3089;2583;10604;3579;2309;10822;1255;14272;2676;1742;63153;30224;1869;0;5020;6610;2139;5431;13541
5985;3896;7116;42303;5452;7482;9958;7288;11925;6809;16003;16450;6173;8543;8033;4782;34092;7982;3716;5020;0;9942;3276;3820;11799
6731;7333;17165;35303;3344;6758;14110;17481;13091;8455;8381;92083;2974;8064;12692;6453;70935;14964;11510;6610;9942;0;35285;2566;19926
2704;3719;4284;13618;1067;2191;4911;7930;4172;2868;3033;32908;1056;1840;6157;2022;14957;4589;3519;2139;3276;35285;0;940;4951
12250;2015;8085;17580;4608;6599;2722;1278;12891;2336;1755;3865;1504;20618;3065;3546;28398;6227;569;5431;3820;2566;940;0;6237
16132;565;51895;40708;7050;14181;10802;8447;19500;5616;7266;24583;4588;20937;12044;5065;166694;12359;3520;13541;11799;19926;4951;6237;0